Brand Name,Brand Image Name,Category,Product Name,Description,Price,Product Image Name,Product Code
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Triple S Toilet Cleaner 1Lt,"Effectively cleans and descales toilets and other ceramic surfaces. Safe for use on stainless steel and chrome fittings.

Toilet Bowls: Remove cap and aim under the rim at the water outlets then around the bowl above the water level. Leave for 5 minutes and brush stubborn stains. To remove stains below
the water level, force water round the S bend with the toilet brush and apply as above. Rinse brush thoroughly after use. Urinals: Apply evenly across the surface of the urinal, scrubbing
stains with a brush. Leave to flush automatically and rinse brush. Sinks: Wear protective gloves. Insert the plug and apply carefully to taps and spread evenly around the inside of the
sink.  Allow to react for a few minutes and agitate with a cloth or sponge. Remove the plug and rinse thoroughly.

 
",3.44,Triple S 1L,
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Triple Clean 750ml,"A foaming ready to use cleaner for use on a variety of washroom surfaces.

Triple Clean Ready to Use may be used to clean a variety of washroom surfaces including washbasins, sinks, tiles, cabinets, counter services and tables. It complies with BSEN1276, it is certified against MRSA and will kill 99.999% of germs.

 

Triple S Information Sheet

/_fileupload/Triple-Clean-RTU-1.pdf

Triple S MSDS Sheet

/_fileupload/Triple-Clean-RTU1.pdf",3.66,triple clean 750ml,
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Spray & Wipe with Bleach 750ml,"A ready-to use-bactericidal cleaner for use on most washroom surfaces.

Use neat and apply to the surface by cloth or spray. Allow a few minutes contact time and rinse away with a damp cloth leaving a clean disinfected surface. Ideal for many washroom surfaces including washbasins, sinks, tiles, cabinets, counter surfaces and tables. Where washroom walls are looking jaded, it is perfect for making grout lines look like new. It will kill most commonly found bacteria. Always clean vertical surfaces from the bottom up to avoid unsightly streaking.

 

",3.6,Spray & Wipe with Bleach 750ml,
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Citrus Toilet & Washroom Cleaner 1lt,"A concentrated liquid designed to clean, disinfect and deodorise most washroom surfaces, including stainless steel. Effective against most common forms of bacteria.

Citrus Toilet/Washroom Cleaner is ideal for use on many washroom surfaces including toilets, urinals, washbasins, sinks, tiles, counter surfaces and floors.

For General Washroom Cleaning: Dilute 1 part to 60 parts water. For Stainless Steel Cleaning: Dilute 1 part to 40 parts water. Use neat for disinfecting drains. Apply to surface by cloth, allow a few minutes contact time, agitate and then wipe away with a damp cloth leaving a clean disinfected surface.

Product Information Sheet:

/_fileupload/Citrus-Toilet-Washroom-Cleaner-1.pdf

Product MSSD Sheet:

/_fileupload/Citrus-Toilet-Washroom%20MSSD.pdf",3.15,Citrus Toilet & Washroom Cleaner 1lt,
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Triple S Toilet Cleaner 5L,"Effectively cleans and descales toilets and other ceramic surfaces. Safe for use on stainless steel and chrome fittings.

Toilet Bowls: Remove cap and aim under the rim at the water outlets then around the bowl above the water level. Leave for 5 minutes and brush stubborn stains. To remove stains below
the water level, force water round the S bend with the toilet brush and apply as above. Rinse brush thoroughly after use. Urinals: Apply evenly across the surface of the urinal, scrubbing
stains with a brush. Leave to flush automatically and rinse brush. Sinks: Wear protective gloves. Insert the plug and apply carefully to taps and spread evenly around the inside of the
sink.  Allow to react for a few minutes and agitate with a cloth or sponge. Remove the plug and rinse thoroughly.

Product Information:

/_fileupload/Triple%20S%20Info%20Sheet.pdf

Product MSSD Sheet:

/_fileupload/Triple%20S.pdf",15.5,Triple S Toilet Cleaner 5L,
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Greyland Limescale Remover 1L,"A powerful germicidal descaler of most washroom surfaces. Including stainless steel and chrome fittings.

Toilet Bowls: Remove cap and aim under the rim at the water outlets then around the bowl above the water level. Leave for 5 minutes and brush stubborn stains. To remove stains below the water level, force water round the S bend with the toilet brush and apply as above. Rinse brush thoroughly after use. Urinals: Apply evenly across the surface of the urinal, leave to react for 5 minutes before scrubbing stains with a brush. Allow to flush automatically and rinse brush. Sinks: Wear protective gloves. Insert the plug and apply carefully to taps and spread around the inside of the sink. Allow to react for a few minutes and agitate with a cloth or sponge. Remove the plug and rinse thoroughly.

 

Product Information Sheet:

/_fileupload/Limescale-Remover-1%20Info%20sheet.pdf

Product MSDS Sheet:

/_fileupload/Limescale-Remover%20MSSD%20Sheet_.pdf
",3.79,Greyland Limescale Remover 1L - 750ml,
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Greyland Thick Bleach 5L,"Ideal for use where general purpose cleaning and sterilising is required.

Agitate before use. Thickened formula will cling to vertical surfaces. Use neat to disinfect toilets, urinals, drains, waste pipes etc. For general use dilute with up to 100 parts water, apply by mop or cloth. Allow a few minutes to react, wipe and rinse with clean water.

 

",5.15,Greyland Thick Bleach 5L ,GL27
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Toilet Freshener,"Ideal for use as a daily deodoriser for toilets and urinals.

",8.01,Toilet Freshener 5L  ,GL73
Greyland Chemical,Greyland Chemical Logo,Toilet & Washroom,Uritex 5L,"Removes scale and stains from toilet bowls and urinals etc. Clears the most stubborn blockage in drains and sewage by dissolving greasy matter and removing limescale. Also a mild disinfectant and contains corrosion inhibitors to reduce attack on metal fittings.

For cleaning drains use with 1 to 4 parts of hot water. For removing stains from walls, concrete etc. Use with 1 to 4 parts of hot water and apply with a brush or spray. For removing scale from toilet bowls, urinals, gullies etc, block outlet and use 1 part in 2 to 4 parts water. Allow to soak for a few minutes, if required scrub with a brush and rinse with adequate supplies of water.

",12.92,Uritex 5L  ,GL57
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Universal Cleaner 5L,"A general purpose cleaner of grime and grease from most hard surfaces, including floors and walls.

Dilute 1 part with 5 parts of water for heavy duty cleaning. Dilute 1 part with 60 parts of water for general purpose cleaning of hard surfaces. Apply to the surface with mop or cloth, leave to react for a few seconds and then wipe off the dirt with the mop or cloth, rubbing stubborn marks. Rinse the mop or cloth frequently in clean water. When dry, surfaces may be polished with a  dry cloth.",12.35,Greyland Universal Cleaner 5L ,GL07
